"Seleccion","Fecha","Posicion"
"Brasil","Fecha1",1
"Argentina","Fecha1",4
"Uruguay","Fecha1",3
"Ecuador","Fecha1",8
"Perú","Fecha1",5
"Colombia","Fecha1",2
"Chile","Fecha1",7
"Paraguay","Fecha1",6
"Bolivia","Fecha1",10
"Venezuela","Fecha1",9
"Brasil","Fecha2",1
"Argentina","Fecha2",2
"Uruguay","Fecha2",6
"Ecuador","Fecha2",5
"Perú","Fecha2",8
"Colombia","Fecha2",3
"Chile","Fecha2",7
"Paraguay","Fecha2",4
"Bolivia","Fecha2",10
"Venezuela","Fecha2",9
"Brasil","Fecha3",1
"Argentina","Fecha3",2
"Uruguay","Fecha3",4
"Ecuador","Fecha3",3
"Perú","Fecha3",8
"Colombia","Fecha3",7
"Chile","Fecha3",6
"Paraguay","Fecha3",5
"Bolivia","Fecha3",10
"Venezuela","Fecha3",9
"Brasil","Fecha4",1
"Argentina","Fecha4",2
"Uruguay","Fecha4",5
"Ecuador","Fecha4",3
"Perú","Fecha4",9
"Colombia","Fecha4",7
"Chile","Fecha4",6
"Paraguay","Fecha4",4
"Bolivia","Fecha4",10
"Venezuela","Fecha4",8
"Brasil","Fecha5",1
"Argentina","Fecha5",2
"Uruguay","Fecha5",5
"Ecuador","Fecha5",3
"Perú","Fecha5",10
"Colombia","Fecha5",6
"Chile","Fecha5",7
"Paraguay","Fecha5",4
"Bolivia","Fecha5",8
"Venezuela","Fecha5",9
"Brasil","Fecha6",1
"Argentina","Fecha6",2
"Uruguay","Fecha6",4
"Ecuador","Fecha6",3
"Perú","Fecha6",10
"Colombia","Fecha6",5
"Chile","Fecha6",7
"Paraguay","Fecha6",6
"Bolivia","Fecha6",8
"Venezuela","Fecha6",9
"Brasil","Fecha7",1
"Argentina","Fecha7",2
"Uruguay","Fecha7",4
"Ecuador","Fecha7",3
"Perú","Fecha7",9
"Colombia","Fecha7",5
"Chile","Fecha7",7
"Paraguay","Fecha7",6
"Bolivia","Fecha7",8
"Venezuela","Fecha7",10
"Brasil","Fecha8",1
"Argentina","Fecha8",2
"Uruguay","Fecha8",4
"Ecuador","Fecha8",3
"Perú","Fecha8",7
"Colombia","Fecha8",5
"Chile","Fecha8",8
"Paraguay","Fecha8",6
"Bolivia","Fecha8",9
"Venezuela","Fecha8",10
"Brasil","Fecha9",1
"Argentina","Fecha9",2
"Uruguay","Fecha9",3
"Ecuador","Fecha9",4
"Perú","Fecha9",7
"Colombia","Fecha9",5
"Chile","Fecha9",8
"Paraguay","Fecha9",6
"Bolivia","Fecha9",9
"Venezuela","Fecha9",10
"Brasil","Fecha10",1
"Argentina","Fecha10",2
"Uruguay","Fecha10",4
"Ecuador","Fecha10",3
"Perú","Fecha10",7
"Colombia","Fecha10",5
"Chile","Fecha10",8
"Paraguay","Fecha10",6
"Bolivia","Fecha10",9
"Venezuela","Fecha10",10
"Brasil","Fecha11",1
"Argentina","Fecha11",2
"Uruguay","Fecha11",4
"Ecuador","Fecha11",3
"Perú","Fecha11",7
"Colombia","Fecha11",5
"Chile","Fecha11",8
"Paraguay","Fecha11",6
"Bolivia","Fecha11",9
"Venezuela","Fecha11",10
"Brasil","Fecha12",1
"Argentina","Fecha12",2
"Uruguay","Fecha12",5
"Ecuador","Fecha12",3
"Perú","Fecha12",9
"Colombia","Fecha12",4
"Chile","Fecha12",6
"Paraguay","Fecha12",8
"Bolivia","Fecha12",7
"Venezuela","Fecha12",10
"Brasil","Fecha13",1
"Argentina","Fecha13",2
"Uruguay","Fecha13",6
"Ecuador","Fecha13",3
"Perú","Fecha13",7
"Colombia","Fecha13",5
"Chile","Fecha13",4
"Paraguay","Fecha13",8
"Bolivia","Fecha13",9
"Venezuela","Fecha13",10
"Brasil","Fecha14",1
"Argentina","Fecha14",2
"Uruguay","Fecha14",7
"Ecuador","Fecha14",3
"Perú","Fecha14",5
"Colombia","Fecha14",4
"Chile","Fecha14",6
"Paraguay","Fecha14",9
"Bolivia","Fecha14",8
"Venezuela","Fecha14",10
"Brasil","Fecha15",1
"Argentina","Fecha15",2
"Uruguay","Fecha15",5
"Ecuador","Fecha15",3
"Perú","Fecha15",4
"Colombia","Fecha15",6
"Chile","Fecha15",7
"Paraguay","Fecha15",9
"Bolivia","Fecha15",8
"Venezuela","Fecha15",10
"Brasil","Fecha16",1
"Argentina","Fecha16",2
"Uruguay","Fecha16",4
"Ecuador","Fecha16",3
"Perú","Fecha16",5
"Colombia","Fecha16",7
"Chile","Fecha16",6
"Paraguay","Fecha16",9
"Bolivia","Fecha16",8
"Venezuela","Fecha16",10
"Brasil","Fecha17",1
"Argentina","Fecha17",2
"Uruguay","Fecha17",4
"Ecuador","Fecha17",3
"Perú","Fecha17",5
"Colombia","Fecha17",6
"Chile","Fecha17",7
"Paraguay","Fecha17",8
"Bolivia","Fecha17",9
"Venezuela","Fecha17",10
"Brasil","Fecha18",1
"Argentina","Fecha18",2
"Uruguay","Fecha18",3
"Ecuador","Fecha18",4
"Perú","Fecha18",5
"Colombia","Fecha18",6
"Chile","Fecha18",7
"Paraguay","Fecha18",8
"Bolivia","Fecha18",9
"Venezuela","Fecha18",10
