"Fecha","Seleccion","Puntos"
"Fecha18","Brasil",45
"Fecha17","Brasil",42
"Fecha16","Brasil",39
"Fecha18","Argentina",39
"Fecha17","Argentina",38
"Fecha15","Brasil",36
"Fecha14","Brasil",35
"Fecha16","Argentina",35
"Fecha13","Brasil",34
"Fecha15","Argentina",32
"Fecha12","Brasil",31
"Fecha14","Argentina",29
"Fecha11","Brasil",28
"Fecha13","Argentina",28
"Fecha18","Uruguay",28
"Fecha10","Brasil",27
"Fecha18","Ecuador",26
"Fecha12","Argentina",25
"Fecha16","Ecuador",25
"Fecha17","Ecuador",25
"Fecha17","Uruguay",25
"Fecha9","Brasil",24
"Fecha15","Ecuador",24
"Fecha18","Perú",24
"Fecha14","Ecuador",23
"Fecha18","Colombia",23
"Fecha11","Argentina",22
"Fecha16","Uruguay",22
"Fecha7","Brasil",21
"Fecha8","Brasil",21
"Fecha16","Perú",21
"Fecha17","Perú",21
"Fecha13","Ecuador",20
"Fecha15","Perú",20
"Fecha17","Colombia",20
"Fecha10","Argentina",19
"Fecha15","Uruguay",19
"Fecha16","Chile",19
"Fecha17","Chile",19
"Fecha18","Chile",19
"Fecha6","Brasil",18
"Fecha9","Argentina",18
"Fecha12","Ecuador",17
"Fecha14","Colombia",17
"Fecha14","Perú",17
"Fecha15","Colombia",17
"Fecha16","Colombia",17
"Fecha10","Ecuador",16
"Fecha10","Uruguay",16
"Fecha11","Ecuador",16
"Fecha11","Uruguay",16
"Fecha12","Colombia",16
"Fecha12","Uruguay",16
"Fecha13","Chile",16
"Fecha13","Colombia",16
"Fecha13","Uruguay",16
"Fecha14","Chile",16
"Fecha14","Uruguay",16
"Fecha15","Chile",16
"Fecha17","Paraguay",16
"Fecha18","Paraguay",16
"Fecha5","Brasil",15
"Fecha7","Argentina",15
"Fecha8","Argentina",15
"Fecha9","Uruguay",15
"Fecha11","Colombia",15
"Fecha14","Bolivia",15
"Fecha15","Bolivia",15
"Fecha16","Bolivia",15
"Fecha17","Bolivia",15
"Fecha18","Bolivia",15
"Fecha10","Colombia",14
"Fecha13","Perú",14
"Fecha8","Ecuador",13
"Fecha9","Colombia",13
"Fecha9","Ecuador",13
"Fecha12","Chile",13
"Fecha14","Paraguay",13
"Fecha15","Paraguay",13
"Fecha16","Paraguay",13
"Fecha4","Brasil",12
"Fecha6","Argentina",12
"Fecha7","Ecuador",12
"Fecha8","Uruguay",12
"Fecha10","Paraguay",12
"Fecha11","Paraguay",12
"Fecha12","Bolivia",12
"Fecha12","Paraguay",12
"Fecha13","Bolivia",12
"Fecha13","Paraguay",12
"Fecha5","Argentina",11
"Fecha9","Paraguay",11
"Fecha10","Perú",11
"Fecha11","Perú",11
"Fecha12","Perú",11
"Fecha4","Argentina",10
"Fecha8","Colombia",10
"Fecha11","Chile",10
"Fecha15","Venezuela",10
"Fecha16","Venezuela",10
"Fecha17","Venezuela",10
"Fecha18","Venezuela",10
"Fecha3","Brasil",9
"Fecha4","Ecuador",9
"Fecha5","Ecuador",9
"Fecha6","Ecuador",9
"Fecha7","Colombia",9
"Fecha7","Uruguay",9
"Fecha11","Bolivia",9
"Fecha6","Colombia",8
"Fecha6","Uruguay",8
"Fecha8","Paraguay",8
"Fecha8","Perú",8
"Fecha9","Perú",8
"Fecha3","Argentina",7
"Fecha5","Colombia",7
"Fecha5","Paraguay",7
"Fecha5","Uruguay",7
"Fecha6","Paraguay",7
"Fecha7","Paraguay",7
"Fecha8","Chile",7
"Fecha9","Chile",7
"Fecha10","Chile",7
"Fecha11","Venezuela",7
"Fecha12","Venezuela",7
"Fecha13","Venezuela",7
"Fecha14","Venezuela",7
"Fecha2","Argentina",6
"Fecha2","Brasil",6
"Fecha3","Ecuador",6
"Fecha3","Uruguay",6
"Fecha4","Paraguay",6
"Fecha4","Uruguay",6
"Fecha6","Chile",6
"Fecha7","Bolivia",6
"Fecha7","Chile",6
"Fecha8","Bolivia",6
"Fecha9","Bolivia",6
"Fecha10","Bolivia",6
"Fecha3","Paraguay",5
"Fecha5","Chile",5
"Fecha6","Bolivia",5
"Fecha7","Perú",5
"Fecha2","Colombia",4
"Fecha2","Paraguay",4
"Fecha3","Chile",4
"Fecha3","Colombia",4
"Fecha4","Chile",4
"Fecha4","Colombia",4
"Fecha5","Bolivia",4
"Fecha6","Perú",4
"Fecha6","Venezuela",4
"Fecha7","Venezuela",4
"Fecha8","Venezuela",4
"Fecha9","Venezuela",4
"Fecha10","Venezuela",4
"Fecha1","Argentina",3
"Fecha1","Brasil",3
"Fecha1","Colombia",3
"Fecha1","Uruguay",3
"Fecha2","Ecuador",3
"Fecha2","Uruguay",3
"Fecha4","Venezuela",3
"Fecha5","Venezuela",3
"Fecha1","Paraguay",1
"Fecha1","Perú",1
"Fecha2","Chile",1
"Fecha2","Perú",1
"Fecha3","Perú",1
"Fecha4","Bolivia",1
"Fecha4","Perú",1
"Fecha5","Perú",1
"Fecha1","Bolivia",0
"Fecha1","Chile",0
"Fecha1","Ecuador",0
"Fecha1","Venezuela",0
"Fecha2","Bolivia",0
"Fecha2","Venezuela",0
"Fecha3","Bolivia",0
"Fecha3","Venezuela",0
